Date : 2022-05-23 22:16:57
Directory : c:\Users\SavyaSachiVijayavith\personal\spm\spm-client
Total : 135 files,  15306 codes, 201 comments, 672 blanks, all 16179 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     10,792 |         21 |          4 |     10,817 |
| TypeScript         |         73 |      1,904 |         88 |        408 |      2,400 |
| HTML               |         25 |      1,211 |         62 |        160 |      1,433 |
| JavaScript         |          3 |        992 |         27 |          5 |      1,024 |
| SCSS               |         25 |        354 |          3 |         79 |        436 |
| JSON with Comments |          2 |         39 |          0 |          2 |         41 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |        135 |     15,306 |        201 |        672 |     16,179 |
| e2e                                                                                                                                                |          4 |         64 |          7 |         11 |         82 |
| e2e\src                                                                                                                                            |          2 |         27 |          1 |          8 |         36 |
| src                                                                                                                                                |        122 |      4,381 |        171 |        640 |      5,192 |
| src\app                                                                                                                                            |        114 |      3,369 |         81 |        614 |      4,064 |
| src\app\auth                                                                                                                                       |          9 |        251 |          0 |         47 |        298 |
| src\app\auth\login                                                                                                                                 |          4 |         78 |          0 |         21 |         99 |
| src\app\auth\signup                                                                                                                                |          4 |         96 |          0 |         23 |        119 |
| src\app\employee                                                                                                                                   |         21 |        705 |         27 |        145 |        877 |
| src\app\employee\employee-dashboard                                                                                                                |          4 |        137 |          0 |         33 |        170 |
| src\app\employee\employee-issue-detail                                                                                                             |          4 |        139 |          0 |         22 |        161 |
| src\app\employee\employee-project-detail                                                                                                           |          8 |        228 |          6 |         52 |        286 |
| src\app\employee\employee-project-detail\Dialogs                                                                                                   |          4 |         74 |          0 |         20 |         94 |
| src\app\employee\employee-project-detail\Dialogs\create-issue                                                                                      |          4 |         74 |          0 |         20 |         94 |
| src\app\employee\employee-scrum-board                                                                                                              |          4 |        174 |         21 |         35 |        230 |
| src\app\manager                                                                                                                                    |         23 |        927 |         15 |        138 |      1,080 |
| src\app\manager\dashboard                                                                                                                          |          4 |        141 |          8 |         27 |        176 |
| src\app\manager\dialogs                                                                                                                            |          8 |        283 |          0 |         39 |        322 |
| src\app\manager\dialogs\add-project                                                                                                                |          4 |        155 |          0 |         19 |        174 |
| src\app\manager\dialogs\create-task                                                                                                                |          4 |        128 |          0 |         20 |        148 |
| src\app\manager\manager-project-detail                                                                                                             |          4 |        158 |          4 |         24 |        186 |
| src\app\manager\manager-task-detail                                                                                                                |          4 |        157 |          2 |         22 |        181 |
| src\app\manager\services                                                                                                                           |          2 |        159 |          1 |         23 |        183 |
| src\app\shared                                                                                                                                     |         55 |      1,385 |         38 |        269 |      1,692 |
| src\app\shared\admin                                                                                                                               |          4 |        249 |          7 |         31 |        287 |
| src\app\shared\dialogs                                                                                                                             |          8 |        135 |          0 |         40 |        175 |
| src\app\shared\dialogs\confirm-delete                                                                                                              |          4 |         38 |          0 |         13 |         51 |
| src\app\shared\dialogs\edit-profile                                                                                                                |          4 |         97 |          0 |         27 |        124 |
