"filename", "language", "JSON", "SCSS", "HTML", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\package-lock.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 75
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.html", "HTML", 0, 0, -73, 0, 0, 0, -7, -80
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.html", "HTML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.scss", "SCSS", 0, 29, 0, 0, 0, 0, 5, 34
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 3, 39
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.html", "HTML", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.scss", "SCSS", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.html", "HTML", 0, 0, -51, 0, 0, 42, 0, -9
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.scss", "SCSS", 0, -42, 0, 0, 0, 54, 4, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.ts", "TypeScript", 0, 0, 0, 0, -16, 16, 2, 2
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\interface\issue-status.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\interface\lane.ts", "TypeScript", 0, 0, 0, 0, 74, 0, 4, 78
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.html", "HTML", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.scss", "SCSS", 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 4, 17
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.html", "HTML", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.scss", "SCSS", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 5, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.html", "HTML", 0, 0, -7, 0, 0, -4, 0, -11
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 5, 5, 3, 13
